" Code","Sampling Date",State,City/Town/Village/Area,"Location of Monitoring Station",Agency,"Type of Location",SO2,NO2,RSPM/PM10,"PM 2.5"
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",4.1,27.6,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,44,203,NA
NA,2003-01-01T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",NA,34,149,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",22.6,31.9,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",28.2,38.8,NA,NA
NA,2009-01-13T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",13.2,70,468,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",22.9,34.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",7.6,24.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",14.1,32.7,NA,NA
NA,2014-01-01T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,40,154,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.9,23.7,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",19.2,35.8,NA,NA
NA,2012-07-01T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",5,54,137,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.7,34.6,NA,NA
NA,1988-01-07T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,NA,NA
NA,2007-09-02T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",6,64.9,136,NA
NA,1987-01-09T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Residential,8.6,16.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",22,42.1,NA,NA
NA,2005-04-01T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",10.9,62.9,203,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12.9,29.8,NA,NA
NA,2004-05-01T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,136,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.5,38,NA,NA
NA,2013-03-01T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,59,243,NA
NA,2006-06-01T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",22.1,34.8,269,NA
NA,2011-04-01T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,38,109,NA
NA,2008-02-01T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",25.4,96.9,374,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.3,35.9,NA,NA
NA,2013-04-01T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",5,77,264,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",23.6,31.3,NA,NA
NA,2007-10-02T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",2.6,41.1,40,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",23.6,44.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.7,23.6,NA,NA
NA,2008-03-01T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",20.3,115.4,406,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",57.9,118.9,NA,NA
NA,2014-06-01T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,41,232,NA
NA,2011-07-01T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,44,331,NA
NA,2006-07-01T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",19.1,43.1,301,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",76.8,72.4,NA,NA
NA,2012-08-01T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,78,179,NA
NA,2003-06-01T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11,39,184,NA
NA,1988-02-08T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",NA,NA,NA,NA
NA,1987-02-09T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Residential,6.5,9.3,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,45,214,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",28.5,27.9,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",8.3,25.6,NA,NA
