YEAR,MONTH,AQI,DATE
2018,1,324.0233333333333,2018-01-01
2018,2,248.650625,2018-02-01
2018,3,208.0375,2018-03-01
2018,4,215.173125,2018-04-01
2018,5,210.77666666666667,2018-05-01
2018,6,182.00105263157894,2018-06-01
2018,7,109.022,2018-07-01
2018,8,111.0635,2018-08-01
2018,9,112.84049999999999,2018-09-01
2018,10,260.3947619047619,2018-10-01
2018,11,316.43285714285713,2018-11-01
2018,12,339.67,2018-12-01
2019,1,276.92962962962963,2019-01-01
2019,2,207.69962962962964,2019-02-01
2019,3,160.5674074074074,2019-03-01
2019,4,200.8548148148148,2019-04-01
2019,5,214.36962962962966,2019-05-01
2019,6,183.49925925925925,2019-06-01
2019,7,121.71074074074075,2019-07-01
2019,8,80.46884615384616,2019-08-01
2019,9,87.29740740740739,2019-09-01
2019,10,222.9,2019-10-01
2019,11,284.5333333333333,2019-11-01
2019,12,295.9714814814815,2019-12-01
2020,1,244.96035714285716,2020-01-01
2020,2,213.7703703703704,2020-02-01
2020,3,127.58964285714286,2020-03-01
2020,4,114.41071428571429,2020-04-01
2020,5,142.22607142857143,2020-05-01
2020,6,123.53137931034482,2020-06-01
2020,7,83.95827586206896,2020-07-01
2020,8,62.027931034482755,2020-08-01
2020,9,115.55137931034484,2020-09-01
2020,10,251.91931034482758,2020-10-01
2020,11,295.88266666666664,2020-11-01
2020,12,288.09933333333333,2020-12-01
2021,1,273.34275862068966,2021-01-01
2021,2,248.03833333333333,2021-02-01
2021,3,203.29166666666666,2021-03-01
2021,4,188.41266666666667,2021-04-01
2021,5,139.58933333333334,2021-05-01
2021,6,140.06333333333333,2021-06-01
2021,7,106.43333333333334,2021-07-01
2021,8,103.56133333333334,2021-08-01
2021,9,74.98166666666665,2021-09-01
2021,10,170.88333333333333,2021-10-01
2021,11,339.865,2021-11-01
2021,12,288.174,2021-12-01
2022,1,235.81433333333334,2022-01-01
2022,2,198.51862068965517,2022-02-01
2022,3,197.66400000000002,2022-03-01
2022,4,241.25862068965517,2022-04-01
2022,5,198.51633333333334,2022-05-01
2022,6,182.10933333333332,2022-06-01
2022,7,79.46866666666666,2022-07-01
2022,8,83.789,2022-08-01
2022,9,95.84517241379311,2022-09-01
2022,10,191.33172413793102,2022-10-01
2022,11,265.2448275862069,2022-11-01
2022,12,253.693,2022-12-01
2023,1,226.78966666666665,2023-01-01
2023,2,179.9325806451613,2023-02-01
2023,3,134.96354838709678,2023-03-01
2023,4,148.04709677419356,2023-04-01
2023,5,143.88451612903225,2023-05-01
2023,6,110.8016129032258,2023-06-01
2023,7,69.51129032258065,2023-07-01
2023,8,97.43129032258064,2023-08-01
2023,9,93.15612903225806,2023-09-01
2023,10,173.98322580645163,2023-10-01
2023,11,285.56129032258065,2023-11-01
2023,12,249.93709677419355,2023-12-01
2024,1,242.61096774193547,2024-01-01
2024,2,161.82096774193548,2024-02-01
2024,3,136.93645161290323,2024-03-01
2024,4,150.48774193548385,2024-04-01
2024,5,181.26548387096776,2024-05-01
2024,6,154.04483870967744,2024-06-01
2024,7,83.79290322580646,2024-07-01
2024,8,63.593225806451606,2024-08-01
2024,9,82.97645161290322,2024-09-01
2024,10,177.96870967741935,2024-10-01
2024,11,278.03225806451616,2024-11-01
2024,12,192.3641935483871,2024-12-01
2025,1,184.89533333333333,2025-01-01
2025,2,146.0742857142857,2025-02-01
2025,3,138.7592857142857,2025-03-01
