DISTRICT_NAME,State,AQI,YEAR,MONTH,TIME,TIME_ISO,DISTRICT_NAME_clean
Alwar,Rajasthan,214.07,2018,1,2018-01-01,2018-01-01T00:00:00,alwar
Baghpat,UttarPradesh,,2018,1,2018-01-01,2018-01-01T00:00:00,baghpat
Bharatpur,Rajasthan,,2018,1,2018-01-01,2018-01-01T00:00:00,bharatpur
Bhiwani,Haryana,,2018,1,2018-01-01,2018-01-01T00:00:00,bhiwani
Bulandshahr,UttarPradesh,,2018,1,2018-01-01,2018-01-01T00:00:00,bulandshahr
Faridabad,Haryana,337.16,2018,1,2018-01-01,2018-01-01T00:00:00,faridabad
Gautam Buddha Nagar,UttarPradesh,,2018,1,2018-01-01,2018-01-01T00:00:00,gautam buddha nagar
Ghaziabad,UttarPradesh,405.45,2018,1,2018-01-01,2018-01-01T00:00:00,ghaziabad
Gurugram,Haryana,274.03,2018,1,2018-01-01,2018-01-01T00:00:00,gurugram
Hapur,UttarPradesh,,2018,1,2018-01-01,2018-01-01T00:00:00,hapur
Jhajjar,Haryana,,2018,1,2018-01-01,2018-01-01T00:00:00,jhajjar
Jind,Haryana,,2018,1,2018-01-01,2018-01-01T00:00:00,jind
Mahendragarh,Haryana,,2018,1,2018-01-01,2018-01-01T00:00:00,mahendragarh
Meerut,UttarPradesh,,2018,1,2018-01-01,2018-01-01T00:00:00,meerut
Muzaffarnagar,UttarPradesh,,2018,1,2018-01-01,2018-01-01T00:00:00,muzaffarnagar
New Delhi,NCTofDelhi,313.32,2018,1,2018-01-01,2018-01-01T00:00:00,new delhi
North Delhi,NCTofDelhi,308.15,2018,1,2018-01-01,2018-01-01T00:00:00,north delhi
North East Delhi,NCTofDelhi,256.87,2018,1,2018-01-01,2018-01-01T00:00:00,north east delhi
North West Delhi,NCTofDelhi,390.52,2018,1,2018-01-01,2018-01-01T00:00:00,north west delhi
Nuh,Haryana,,2018,1,2018-01-01,2018-01-01T00:00:00,nuh
Palwal,Haryana,,2018,1,2018-01-01,2018-01-01T00:00:00,palwal
Panipat,Haryana,,2018,1,2018-01-01,2018-01-01T00:00:00,panipat
Rewari,Haryana,,2018,1,2018-01-01,2018-01-01T00:00:00,rewari
Rohtak,Haryana,269.58,2018,1,2018-01-01,2018-01-01T00:00:00,rohtak
Shahdara,NCTofDelhi,403.62,2018,1,2018-01-01,2018-01-01T00:00:00,shahdara
Shamli,UttarPradesh,,2018,1,2018-01-01,2018-01-01T00:00:00,shamli
Sonipat,Haryana,,2018,1,2018-01-01,2018-01-01T00:00:00,sonipat
South Delhi,NCTofDelhi,332.76,2018,1,2018-01-01,2018-01-01T00:00:00,south delhi
