district,exposure,sensitivity,adaptive_capacity,potential_impact,ouv_vulnerability,esc_impact,community_vulnerability,cvi_score,vulnerability_level,exposure_components,sensitivity_components,adaptive_capacity_components
Alwar,0.7646015233067487,0.013139999999999999,0.14955560921743333,0.38887076165337436,0.33071295798745665,0.398427774792474,0.33884066620423925,0.33884066620423925,MODERATE,"{'rainfall_cv': np.float64(1.4651675507859248), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(32.055318359462035), 'temp_variability': np.float64(6.409578702125415), 'heat_wave_count': np.int64(8), 'aqi': 92}","{'population_density': np.float64(438.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(21.892339368890603)}","{'income': np.int64(137313), 'urbanization_rate': np.float64(17.812169739144444)}"
Baghpat,0.7555055012992022,0.029579999999999995,0.12119834934399959,0.3925427506496011,0.3449672172239162,0.40698033033434977,0.35765498608235086,0.35765498608235086,MODERATE,"{'rainfall_cv': np.float64(1.3887901917194505), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.57433889875929), 'temp_variability': np.float64(6.572329111537443), 'heat_wave_count': np.int64(8), 'aqi': 110}","{'population_density': np.float64(986.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(24.452857142857145)}","{'income': np.int64(82685), 'urbanization_rate': np.float64(21.106283114666535)}"
Bharatpur,0.7717217763801169,0.01509,0.14506739327822035,0.39340588819005845,0.33633552149002366,0.4018013128940142,0.343513043816713,0.343513043816713,MODERATE,"{'rainfall_cv': np.float64(1.5016485630793976), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(32.055318359462035), 'temp_variability': np.float64(6.409578702125415), 'heat_wave_count': np.int64(8), 'aqi': 88}","{'population_density': np.float64(503.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(13.547060434274751)}","{'income': np.int64(123979), 'urbanization_rate': np.float64(19.427364426073453)}"
Bhiwani,0.7837977688801433,0.01026,0.10591318525554547,0.39702888444007167,0.3549782906505678,0.4129869743903407,0.36924620846360934,0.36924620846360934,MODERATE,"{'rainfall_cv': np.float64(1.5182047387854176), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(32.013102332688796), 'temp_variability': np.float64(6.613818479048161), 'heat_wave_count': np.int64(8), 'aqi': 98}","{'population_density': np.float64(342.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(12.394068238309924)}","{'income': np.int64(67050), 'urbanization_rate': np.float64(19.65939508518182)}"
Bulandshahr,0.7709711289642408,0.03456,0.1653590730496658,0.4027655644821204,0.3361646240830316,0.40169877444981894,0.3352742374616101,0.3352742374616101,MODERATE,"{'rainfall_cv': np.float64(1.4609749319626268), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.689906245858488), 'temp_variability': np.float64(6.543845149067235), 'heat_wave_count': np.int64(8), 'aqi': 105}","{'population_density': np.float64(1152.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(7.687815403328047)}","{'income': np.int64(82014), 'urbanization_rate': np.float64(35.98309101655527)}"
Central Delhi,0.7784222168116941,0.8319,0.3,0.805161108405847,0.5636127758840929,0.5381676655304557,0.376717365871319,0.376717365871319,MODERATE,"{'rainfall_cv': np.float64(1.3411395176652599), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.770563656711097), 'temp_variability': np.float64(6.58837642834972), 'heat_wave_count': np.int64(8), 'aqi': 178}","{'population_density': np.float64(27730.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(4.2)}","{'income': 0, 'urbanization_rate': np.float64(100.0)}"
Charki Dadri,0.7678350106556557,0.18899743907994682,0.0,0.4784162248678013,0.4784162248678013,0.48704973492068077,0.48704973492068077,0.48704973492068077,HIGH,"{'rainfall_cv': np.float64(1.4491206160968577), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(32.02260093871277), 'temp_variability': np.float64(6.565803587686865), 'heat_wave_count': np.int64(8), 'aqi': 102}","{'population_density': 0, 'gw_depletion_rate': np.float64(0.9449871953997341), 'avg_gw_level': np.float64(11.844414704039512)}","{'income': 0, 'urbanization_rate': 0}"
East Delhi,0.7635504040367501,0.81396,0.29938046480934816,0.788755202018375,0.5526173030173226,0.5315703818103936,0.37242859382511534,0.37242859382511534,MODERATE,"{'rainfall_cv': np.float64(1.3038911460355227), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.639747151409892), 'temp_variability': np.float64(6.577225071575988), 'heat_wave_count': np.int64(8), 'aqi': 168}","{'population_density': np.float64(27132.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(6.912332907276996)}","{'income': 0, 'urbanization_rate': np.float64(99.79348826978271)}"
Faridabad,0.7584415329585031,0.07325999999999999,0.6452194390553744,0.41585076647925157,0.1475357682007614,0.28852146092045683,0.10236180574992255,0.10236180574992255,LOW,"{'rainfall_cv': np.float64(1.3399928408253439), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.769447547551824), 'temp_variability': np.float64(6.542332007300784), 'heat_wave_count': np.int64(8), 'aqi': 140}","{'population_density': np.float64(2442.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(26.901980565730568)}","{'income': np.int64(581000), 'urbanization_rate': np.float64(79.50647968512482)}"
Gautam Buddha Nagar,0.7883005429497717,0.038579999999999996,0.8892496995051922,0.4134402714748858,0.04578863430249853,0.22747318058149912,0.025192723103910714,0.025192723103910714,LOW,"{'rainfall_cv': np.float64(1.4701298983551816), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.705373541174538), 'temp_variability': np.float64(6.543463182496845), 'heat_wave_count': np.int64(8), 'aqi': 135}","{'population_density': np.float64(1286.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(16.305534675742184)}","{'income': np.int64(1017000), 'urbanization_rate': np.float64(59.11656650173076)}"
Ghaziabad,0.7631073312273017,0.11913,0.3503561390280553,0.4411186656136508,0.28657003307604434,0.3719420198456266,0.24162984983021654,0.24162984983021654,MODERATE,"{'rainfall_cv': np.float64(1.3491975114318484), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.57433889875929), 'temp_variability': np.float64(6.572329111537443), 'heat_wave_count': np.int64(8), 'aqi': 145}","{'population_density': np.float64(3971.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(10.447072791406123)}","{'income': np.int64(211000), 'urbanization_rate': np.float64(67.5520463426851)}"
Gurugram,0.7686280910252522,0.03612,0.8399641396906563,0.4023740455126261,0.06439427653976414,0.23863656592385848,0.0381904081288921,0.0381904081288921,LOW,"{'rainfall_cv': np.float64(1.3797770332828343), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.8925852769803), 'temp_variability': np.float64(6.6004051249068505), 'heat_wave_count': np.int64(8), 'aqi': 138}","{'population_density': np.float64(1204.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(28.546956663382105)}","{'income': np.int64(905000), 'urbanization_rate': np.float64(68.82137989688543)}"
Hapur,0.7713405298576826,0.07572,0.17504079488190627,0.4235302649288413,0.3493951906991526,0.4096371144194916,0.3379339082983734,0.3379339082983734,MODERATE,"{'rainfall_cv': np.float64(1.4561303059533721), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.57433889875929), 'temp_variability': np.float64(6.572329111537443), 'heat_wave_count': np.int64(8), 'aqi': 108}","{'population_density': np.float64(2524.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(11.132180854572159)}","{'income': np.int64(91764), 'urbanization_rate': np.float64(36.93533162730209)}"
Jhajjar,0.7764055226701082,0.038064620378990485,0.12957439076590793,0.40723507152454935,0.35446783523324493,0.4126807011399469,0.35920785070889055,0.35920785070889055,MODERATE,"{'rainfall_cv': np.float64(1.4546357539452777), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(32.013102332688796), 'temp_variability': np.float64(6.613818479048161), 'heat_wave_count': np.int64(8), 'aqi': 115}","{'population_density': np.float64(523.0), 'gw_depletion_rate': np.float64(0.11187310189495245), 'avg_gw_level': np.float64(3.8347615031988744)}","{'income': np.int64(76292), 'urbanization_rate': np.float64(25.389996921969317)}"
Jind,0.7999663177686928,0.01482,0.11684808461344734,0.40739315888434635,0.35979004858408864,0.4158740291504532,0.36727994540374576,0.36727994540374576,MODERATE,"{'rainfall_cv': np.float64(1.5788789343396152), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(32.013102332688796), 'temp_variability': np.float64(6.613818479048161), 'heat_wave_count': np.int64(8), 'aqi': 100}","{'population_density': np.float64(494.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(15.396516427821403)}","{'income': np.int64(68763), 'urbanization_rate': np.float64(22.90466153781578)}"
Karnal,0.7538302937533028,0.01791,0.09064028740656498,0.3858701468766514,0.3508947658621383,0.410536859517283,0.37332568057964793,0.37332568057964793,MODERATE,"{'rainfall_cv': np.float64(1.3883642039987376), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.79372061572404), 'temp_variability': np.float64(6.590538727096411), 'heat_wave_count': np.int64(8), 'aqi': 105}","{'population_density': np.float64(597.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(20.11219512074306)}","{'income': 0, 'urbanization_rate': np.float64(30.213429135521658)}"
Mahendragarh,0.7568669854556261,0.01458,0.0816086825075264,0.3857234927278131,0.3542451066740948,0.4125470640044569,0.378879641638705,0.378879641638705,MODERATE,"{'rainfall_cv': np.float64(1.4425343295541917), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(32.03421034607541), 'temp_variability': np.float64(6.508718135256798), 'heat_wave_count': np.int64(8), 'aqi': 85}","{'population_density': np.float64(486.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(27.23605167980168)}","{'income': np.int64(54835), 'urbanization_rate': np.float64(14.408060835842132)}"
Meerut,0.7478785727804464,0.04038,0.2483154891946398,0.3941292863902232,0.29626087983430066,0.3777565279005804,0.2839537308784792,0.2839537308784792,MODERATE,"{'rainfall_cv': np.float64(1.3282824776444273), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.57433889875929), 'temp_variability': np.float64(6.572329111537443), 'heat_wave_count': np.int64(8), 'aqi': 125}","{'population_density': np.float64(1346.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(11.90287492524485)}","{'income': np.int64(135804), 'urbanization_rate': np.float64(51.08422973154661)}"
Muzaffarnagar,0.7358770973148728,0.03102,0.14455328664282857,0.38344854865743644,0.32801980069058145,0.3968118804143489,0.33945141892153374,0.33945141892153374,MODERATE,"{'rainfall_cv': np.float64(1.3302765757821329), 'extreme_rainfall_events': np.int64(8), 'avg_max_temp': np.float64(31.57433889875929), 'temp_variability': np.float64(6.572329111537443), 'heat_wave_count': np.int64(8), 'aqi': 100}","{'population_density': np.float64(1034.0), 'gw_depletion_rate': 0, 'avg_gw_level': np.float64(10.879862310879028)}","{'income': np.int64(83285), 'urbanization_rate': np.float64(28.751262214276196)}"
