YEAR,MONTH,district,method,source
2013,1,west,nearest,west delhi
2013,1,faridabad,nearest,south delhi
2013,2,west,nearest,west delhi
2013,2,faridabad,nearest,south delhi
2013,3,west,nearest,west delhi
2013,3,faridabad,nearest,south delhi
2013,4,west,nearest,west delhi
2013,4,faridabad,nearest,south delhi
2013,5,west,nearest,west delhi
2013,5,faridabad,nearest,south delhi
2013,6,west,nearest,west delhi
2013,6,faridabad,nearest,south delhi
2013,7,west,nearest,west delhi
2013,7,faridabad,nearest,south delhi
2013,8,west,nearest,west delhi
2013,8,faridabad,nearest,south delhi
2013,9,west,nearest,west delhi
2013,9,faridabad,nearest,south delhi
2013,10,west,nearest,west delhi
2013,10,faridabad,nearest,south delhi
2013,11,west,nearest,west delhi
2013,11,faridabad,nearest,south delhi
2013,12,west,nearest,west delhi
2013,12,faridabad,nearest,south delhi
2014,1,west,nearest,west delhi
2014,1,faridabad,nearest,south delhi
2014,2,west,nearest,west delhi
2014,2,faridabad,nearest,south delhi
2014,3,west,nearest,west delhi
2014,3,faridabad,nearest,south delhi
2014,4,west,nearest,west delhi
2014,4,faridabad,nearest,south delhi
2014,5,west,nearest,west delhi
2014,5,faridabad,nearest,south delhi
2014,6,west,nearest,west delhi
2014,6,faridabad,nearest,south delhi
2014,7,west,nearest,west delhi
2014,7,faridabad,nearest,south delhi
2014,8,west,nearest,west delhi
2014,8,faridabad,nearest,south delhi
2014,9,west,nearest,west delhi
2014,9,faridabad,nearest,south delhi
2014,10,west,nearest,west delhi
2014,10,faridabad,nearest,south delhi
2014,11,west,nearest,west delhi
2014,11,faridabad,nearest,south delhi
2014,12,west,nearest,west delhi
2014,12,faridabad,nearest,south delhi
2015,1,west,nearest,west delhi
2015,1,faridabad,nearest,south delhi
2015,2,west,nearest,west delhi
2015,2,faridabad,nearest,south delhi
2015,3,west,nearest,west delhi
2015,3,faridabad,nearest,south delhi
2015,4,west,nearest,west delhi
2015,4,faridabad,nearest,south delhi
2015,5,west,nearest,west delhi
2015,5,faridabad,nearest,south delhi
2015,6,west,nearest,west delhi
2015,6,faridabad,nearest,south delhi
2015,7,west,nearest,west delhi
2015,7,faridabad,nearest,south delhi
2015,8,west,nearest,west delhi
2015,8,faridabad,nearest,south delhi
2015,9,west,nearest,west delhi
2015,9,faridabad,nearest,south delhi
2015,10,west,nearest,west delhi
2015,10,faridabad,nearest,south delhi
2015,11,west,nearest,west delhi
2015,11,faridabad,nearest,south delhi
2015,12,west,nearest,west delhi
2015,12,faridabad,nearest,south delhi
2016,1,west,nearest,west delhi
2016,1,faridabad,nearest,south delhi
2016,2,west,nearest,west delhi
2016,2,faridabad,nearest,south delhi
2016,3,west,nearest,west delhi
2016,3,faridabad,nearest,south delhi
2016,4,west,nearest,west delhi
2016,4,faridabad,nearest,south delhi
2016,5,west,nearest,west delhi
2016,5,faridabad,nearest,south delhi
2016,6,west,nearest,west delhi
2016,6,faridabad,nearest,south delhi
2016,7,west,nearest,west delhi
2016,7,faridabad,nearest,south delhi
2016,8,west,nearest,west delhi
2016,8,faridabad,nearest,south delhi
2016,9,west,nearest,west delhi
2016,9,faridabad,nearest,south delhi
2016,10,west,nearest,west delhi
2016,10,faridabad,nearest,south delhi
2016,11,west,nearest,west delhi
2016,11,faridabad,nearest,south delhi
2016,12,west,nearest,west delhi
2016,12,faridabad,nearest,south delhi
2017,1,west,nearest,west delhi
2017,1,faridabad,nearest,south delhi
2017,2,west,nearest,west delhi
2017,2,faridabad,nearest,south delhi
2017,3,west,nearest,west delhi
2017,3,faridabad,nearest,south delhi
2017,4,west,nearest,west delhi
2017,4,faridabad,nearest,south delhi
2017,5,west,nearest,west delhi
2017,5,faridabad,nearest,south delhi
2017,6,west,nearest,west delhi
2017,6,faridabad,nearest,south delhi
2017,7,west,nearest,west delhi
2017,7,faridabad,nearest,south delhi
2017,8,west,nearest,west delhi
2017,8,faridabad,nearest,south delhi
2017,9,west,nearest,west delhi
2017,9,faridabad,nearest,south delhi
2017,10,west,nearest,west delhi
2017,10,faridabad,nearest,south delhi
2017,11,west,nearest,west delhi
2017,11,faridabad,nearest,south delhi
2017,12,west,nearest,west delhi
2017,12,faridabad,nearest,south delhi
2018,1,west,nearest,west delhi
2018,1,faridabad,nearest,south delhi
2018,2,west,nearest,west delhi
2018,2,faridabad,nearest,south delhi
2018,3,west,nearest,west delhi
2018,3,faridabad,nearest,south delhi
2018,4,west,nearest,west delhi
2018,4,faridabad,nearest,south delhi
2018,5,west,nearest,west delhi
2018,5,faridabad,nearest,south delhi
2018,6,west,nearest,west delhi
2018,6,faridabad,nearest,south delhi
2018,7,west,nearest,west delhi
2018,7,faridabad,nearest,south delhi
2018,8,west,nearest,west delhi
2018,8,faridabad,nearest,south delhi
2018,9,west,nearest,west delhi
2018,9,faridabad,nearest,south delhi
2018,10,west,nearest,west delhi
2018,10,faridabad,nearest,south delhi
2018,11,west,nearest,west delhi
2018,11,faridabad,nearest,south delhi
2018,12,west,nearest,west delhi
2018,12,faridabad,nearest,south delhi
2019,1,west,nearest,west delhi
2019,1,faridabad,nearest,south delhi
2019,2,west,nearest,west delhi
2019,2,faridabad,nearest,south delhi
2019,3,west,nearest,west delhi
2019,3,faridabad,nearest,south delhi
2019,4,west,nearest,west delhi
2019,4,faridabad,nearest,south delhi
2019,5,west,nearest,west delhi
2019,5,faridabad,nearest,south delhi
2019,6,west,nearest,west delhi
2019,6,faridabad,nearest,south delhi
2019,7,west,nearest,west delhi
2019,7,faridabad,nearest,south delhi
2019,8,west,nearest,west delhi
2019,8,faridabad,nearest,south delhi
2019,9,west,nearest,west delhi
2019,9,faridabad,nearest,south delhi
2019,10,west,nearest,west delhi
2019,10,faridabad,nearest,south delhi
2019,11,west,nearest,west delhi
2019,11,faridabad,nearest,south delhi
2019,12,west,nearest,west delhi
2019,12,faridabad,nearest,south delhi
2020,1,west,nearest,west delhi
2020,1,faridabad,nearest,south delhi
2020,2,west,nearest,west delhi
2020,2,faridabad,nearest,south delhi
2020,3,west,nearest,west delhi
2020,3,faridabad,nearest,south delhi
2020,4,west,nearest,west delhi
2020,4,faridabad,nearest,south delhi
2020,5,west,nearest,west delhi
2020,5,faridabad,nearest,south delhi
2020,6,west,nearest,west delhi
2020,6,faridabad,nearest,south delhi
2020,7,west,nearest,west delhi
2020,7,faridabad,nearest,south delhi
2020,8,west,nearest,west delhi
2020,8,faridabad,nearest,south delhi
2020,9,west,nearest,west delhi
2020,9,faridabad,nearest,south delhi
2020,10,west,nearest,west delhi
2020,10,faridabad,nearest,south delhi
2020,11,west,nearest,west delhi
2020,11,faridabad,nearest,south delhi
2020,12,west,nearest,west delhi
2020,12,faridabad,nearest,south delhi
2021,1,west,nearest,west delhi
2021,1,faridabad,nearest,south delhi
2021,2,west,nearest,west delhi
2021,2,faridabad,nearest,south delhi
2021,3,west,nearest,west delhi
2021,3,faridabad,nearest,south delhi
2021,4,west,nearest,west delhi
2021,4,faridabad,nearest,south delhi
2021,5,west,nearest,west delhi
2021,5,faridabad,nearest,south delhi
2021,6,west,nearest,west delhi
2021,6,faridabad,nearest,south delhi
2021,7,west,nearest,west delhi
2021,7,faridabad,nearest,south delhi
2021,8,west,nearest,west delhi
2021,8,faridabad,nearest,south delhi
2021,9,west,nearest,west delhi
2021,9,faridabad,nearest,south delhi
2021,10,west,nearest,west delhi
2021,10,faridabad,nearest,south delhi
2021,11,west,nearest,west delhi
2021,11,faridabad,nearest,south delhi
2021,12,west,nearest,west delhi
2021,12,faridabad,nearest,south delhi
2022,1,west,nearest,west delhi
2022,1,faridabad,nearest,south delhi
2022,2,west,nearest,west delhi
2022,2,faridabad,nearest,south delhi
2022,3,west,nearest,west delhi
2022,3,faridabad,nearest,south delhi
2022,4,west,nearest,west delhi
2022,4,faridabad,nearest,south delhi
2022,5,west,nearest,west delhi
2022,5,faridabad,nearest,south delhi
2022,6,west,nearest,west delhi
2022,6,faridabad,nearest,south delhi
2022,7,west,nearest,west delhi
2022,7,faridabad,nearest,south delhi
2022,8,west,nearest,west delhi
2022,8,faridabad,nearest,south delhi
2022,9,west,nearest,west delhi
2022,9,faridabad,nearest,south delhi
2022,10,west,nearest,west delhi
2022,10,faridabad,nearest,south delhi
2022,11,west,nearest,west delhi
2022,11,faridabad,nearest,south delhi
2022,12,west,nearest,west delhi
2022,12,faridabad,nearest,south delhi
2023,1,west,nearest,west delhi
2023,1,faridabad,nearest,south delhi
