YEAR,MONTH,DISTRICT_NAME,RAINFALL
2013,1,Alwar,0.03758285232403311
2013,2,Alwar,2.247853127593289
2013,3,Alwar,0.0
2013,4,Alwar,0.0729068793001629
2013,5,Alwar,0.08281576166504541
2013,6,Alwar,1.7267621178712165
2013,7,Alwar,7.103935776561635
2013,8,Alwar,9.063408813306262
2013,9,Alwar,2.2054506541008037
2013,10,Alwar,0.8002330112841821
2013,11,Alwar,0.0
2013,12,Alwar,0.0
2013,1,Baghpat,1.846419999676366
2013,2,Baghpat,3.8911202380965864
2013,3,Baghpat,0.10082601623669746
2013,4,Baghpat,0.049740392963091525
2013,5,Baghpat,0.46886879590249825
2013,6,Baghpat,5.251621685922146
2013,7,Baghpat,2.0802246817658023
2013,8,Baghpat,9.104850264085877
2013,9,Baghpat,2.2857746611038845
2013,10,Baghpat,1.896995036111724
2013,11,Baghpat,0.12138618429501852
2013,12,Baghpat,0.30555911434273564
2013,1,Bharatpur,0.24056485775978334
2013,2,Bharatpur,1.07951896744115
2013,3,Bharatpur,0.0
2013,4,Bharatpur,0.0
2013,5,Bharatpur,0.043481465308896954
2013,6,Bharatpur,0.6979433305561542
2013,7,Bharatpur,4.566481110790083
2013,8,Bharatpur,6.367624390269479
2013,9,Bharatpur,1.449782451738914
2013,10,Bharatpur,0.3292570844773323
2013,11,Bharatpur,0.0
2013,12,Bharatpur,0.013390175757869598
2013,1,Bulandshahr,0.6384052860961166
2013,2,Bulandshahr,2.054484487999053
2013,3,Bulandshahr,0.22664987496150435
2013,4,Bulandshahr,0.03701853528618813
2013,5,Bulandshahr,0.0880768294295957
2013,6,Bulandshahr,4.744810819956991
2013,7,Bulandshahr,2.7195250921512164
2013,8,Bulandshahr,3.730424613561681
2013,9,Bulandshahr,0.5068212029006746
2013,10,Bulandshahr,0.7117989734616331
2013,11,Bulandshahr,0.06040973762671152
2013,12,Bulandshahr,0.29153679359343737
2013,1,Gautam Buddha Nagar,0.7202467303122243
2013,2,Gautam Buddha Nagar,3.123377297605787
2013,3,Gautam Buddha Nagar,0.2975225256335351
2013,4,Gautam Buddha Nagar,0.04502612352371216
2013,5,Gautam Buddha Nagar,0.0
2013,6,Gautam Buddha Nagar,2.090427695711454
2013,7,Gautam Buddha Nagar,1.8797902397571071
2013,8,Gautam Buddha Nagar,2.1402650523570275
2013,9,Gautam Buddha Nagar,0.2212507704893748
2013,10,Gautam Buddha Nagar,0.017900807242239674
2013,11,Gautam Buddha Nagar,0.0
2013,12,Gautam Buddha Nagar,0.031293288353950746
2013,1,Ghaziabad,1.2638810334667083
2013,2,Ghaziabad,3.9759181908198764
2013,3,Ghaziabad,0.412578244363108
2013,4,Ghaziabad,0.053197781244913735
2013,5,Ghaziabad,0.24683477032569148
2013,6,Ghaziabad,7.786417451997598
2013,7,Ghaziabad,3.6327886711205206
2013,8,Ghaziabad,4.0666463524103165
2013,9,Ghaziabad,0.9141006847222646
2013,10,Ghaziabad,0.6630193879527431
2013,11,Ghaziabad,0.0
2013,12,Ghaziabad,0.3616032235084041
2013,1,Gurugram,0.5618574532770342
2013,2,Gurugram,2.5050408451684882
2013,3,Gurugram,0.14472578417870305
2013,4,Gurugram,0.23761891623338063
2013,5,Gurugram,0.0101536589284097
2013,6,Gurugram,2.6972742944955828
2013,7,Gurugram,5.976839065071075
2013,8,Gurugram,7.047362628963686
2013,9,Gurugram,1.793883760397633
2013,10,Gurugram,1.120398301751383
2013,11,Gurugram,0.0067061323672533
2013,12,Gurugram,0.06619089649569604
2013,1,Hapur,0.9095973141731755
2013,2,Hapur,2.0622126438788007
2013,3,Hapur,0.46638685849405104
2013,4,Hapur,0.01235168476899465
2013,5,Hapur,0.008681142522442726
2013,6,Hapur,2.013071286678314
2013,7,Hapur,1.769916923296067
2013,8,Hapur,5.215265921046657
2013,9,Hapur,0.9838996877272924
2013,10,Hapur,0.2154143318053215
2013,11,Hapur,0.012351684272289273
2013,12,Hapur,0.32580029868310495
2013,1,Jhajjar,0.8877303513788408
2013,2,Jhajjar,2.6740116035299644
2013,3,Jhajjar,0.09954611220026528
2013,4,Jhajjar,0.1961221130357848
2013,5,Jhajjar,0.020277833425870508
2013,6,Jhajjar,1.4635117083787919
2013,7,Jhajjar,2.944617590917054
2013,8,Jhajjar,5.1188116555893295
2013,9,Jhajjar,1.7027441953619322
2013,10,Jhajjar,1.1054416781151166
2013,11,Jhajjar,0.0
2013,12,Jhajjar,0.023697615310709966
2013,1,Jind,1.3634904929466787
2013,2,Jind,4.497587799493756
2013,3,Jind,0.08125415155964513
2013,4,Jind,0.04685768062869708
2013,5,Jind,0.0
2013,6,Jind,2.7339531064033507
2013,7,Jind,2.885690239288153
2013,8,Jind,6.678978348691618
2013,9,Jind,1.5110246777534484
2013,10,Jind,0.8228351447370744
2013,11,Jind,0.006330867608388263
2013,12,Jind,0.048379377492012515
2013,1,Karnal,1.589614026969479
2013,2,Karnal,4.501211930598531
2013,3,Karnal,0.027829037077965274
2013,4,Karnal,0.0277875820795695
2013,5,Karnal,0.018343314047782652
2013,6,Karnal,2.3498814324537913
2013,7,Karnal,2.8630100902049773
2013,8,Karnal,5.181966788345767
2013,9,Karnal,0.41070624589920046
2013,10,Karnal,0.4221669570092232
2013,11,Karnal,0.03635892271995544
2013,12,Karnal,0.06328638907401794
2013,1,Meerut,1.292013733233175
2013,2,Meerut,3.9053941337125635
2013,3,Meerut,0.33888961884283253
2013,4,Meerut,0.05356635342041651
