YEAR,MONTH,DISTRICT_NAME,RAINFALL,FILLED,FILLED_METHOD,DISTRICT_NAME_clean,TIME,TIME_ISO
2013,1,Alwar,0.0375828523240331,False,,alwar,2013-01-01,2013-01-01T00:00:00
2013,1,Baghpat,1.846419999676366,False,,baghpat,2013-01-01,2013-01-01T00:00:00
2013,1,Bharatpur,0.2405648577597833,False,,bharatpur,2013-01-01,2013-01-01T00:00:00
2013,1,Bhiwani,0.9301598418143489,True,,bhiwani,2013-01-01,2013-01-01T00:00:00
2013,1,Bulandshahr,0.6384052860961166,False,,bulandshahr,2013-01-01,2013-01-01T00:00:00
2013,1,Central Delhi,0.8027514629466559,True,,central delhi,2013-01-01,2013-01-01T00:00:00
2013,1,Charki Dadri,0.8513302838289608,True,,charki dadri,2013-01-01,2013-01-01T00:00:00
2013,1,East Delhi,0.9223833032833632,True,,east delhi,2013-01-01,2013-01-01T00:00:00
2013,1,Faridabad,0.6724397996740956,True,nearest,faridabad,2013-01-01,2013-01-01T00:00:00
2013,1,Gautam Buddha Nagar,0.7202467303122243,False,,gautam buddha nagar,2013-01-01,2013-01-01T00:00:00
2013,1,Ghaziabad,1.2638810334667083,False,,ghaziabad,2013-01-01,2013-01-01T00:00:00
2013,1,Gurugram,0.5618574532770342,False,,gurugram,2013-01-01,2013-01-01T00:00:00
2013,1,Hapur,0.9095973141731756,False,,hapur,2013-01-01,2013-01-01T00:00:00
2013,1,Jhajjar,0.8877303513788408,False,,jhajjar,2013-01-01,2013-01-01T00:00:00
2013,1,Jind,1.363490492946679,False,,jind,2013-01-01,2013-01-01T00:00:00
2013,1,Karnal,1.589614026969479,False,,karnal,2013-01-01,2013-01-01T00:00:00
2013,1,Mahendragarh,0.3868417553088631,True,,mahendragarh,2013-01-01,2013-01-01T00:00:00
2013,1,Meerut,1.292013733233175,False,,meerut,2013-01-01,2013-01-01T00:00:00
2013,1,Muzaffarnagar,1.671383632767585,False,,muzaffarnagar,2013-01-01,2013-01-01T00:00:00
2013,1,New Delhi,0.6724397996740956,True,,new delhi,2013-01-01,2013-01-01T00:00:00
2013,1,North Delhi,1.2075197678740306,True,,north delhi,2013-01-01,2013-01-01T00:00:00
2013,1,North East Delhi,0.7169039095601728,False,,north east delhi,2013-01-01,2013-01-01T00:00:00
2013,1,North West Delhi,0.9083283332086378,False,,north west delhi,2013-01-01,2013-01-01T00:00:00
2013,1,Nuh,0.5284935540409499,False,,nuh,2013-01-01,2013-01-01T00:00:00
2013,1,Palwal,0.841010206769551,False,,palwal,2013-01-01,2013-01-01T00:00:00
2013,1,Panipat,1.3705675140503917,False,,panipat,2013-01-01,2013-01-01T00:00:00
2013,1,Rewari,0.7361006582936932,False,,rewari,2013-01-01,2013-01-01T00:00:00
2013,1,Rohtak,0.9301598418143489,False,,rohtak,2013-01-01,2013-01-01T00:00:00
2013,1,Shahdara,0.9903924715134406,True,,shahdara,2013-01-01,2013-01-01T00:00:00
2013,1,Shamli,2.6030345501438266,False,,shamli,2013-01-01,2013-01-01T00:00:00
2013,1,Sonipat,1.3020655634582683,False,,sonipat,2013-01-01,2013-01-01T00:00:00
2013,1,South Delhi,0.6724397996740956,True,,south delhi,2013-01-01,2013-01-01T00:00:00
2013,1,South East Delhi,0.7830221460711572,False,,south east delhi,2013-01-01,2013-01-01T00:00:00
2013,1,South West Delhi,0.7247939023279375,True,,south west delhi,2013-01-01,2013-01-01T00:00:00
2013,1,West,0.8980293422937393,True,nearest,west,2013-01-01,2013-01-01T00:00:00
2013,1,West Delhi,0.8980293422937393,True,,west delhi,2013-01-01,2013-01-01T00:00:00
2013,2,Alwar,2.247853127593289,False,,alwar,2013-02-01,2013-02-01T00:00:00
2013,2,Baghpat,3.8911202380965855,False,,baghpat,2013-02-01,2013-02-01T00:00:00
2013,2,Bharatpur,1.07951896744115,False,,bharatpur,2013-02-01,2013-02-01T00:00:00
2013,2,Bhiwani,4.736135508332934,True,,bhiwani,2013-02-01,2013-02-01T00:00:00
2013,2,Bulandshahr,2.054484487999053,False,,bulandshahr,2013-02-01,2013-02-01T00:00:00
2013,2,Central Delhi,2.565001168510034,True,,central delhi,2013-02-01,2013-02-01T00:00:00
2013,2,Charki Dadri,3.1730958019338904,True,,charki dadri,2013-02-01,2013-02-01T00:00:00
2013,2,East Delhi,3.194103148721513,True,,east delhi,2013-02-01,2013-02-01T00:00:00
2013,2,Faridabad,2.494027401453682,True,nearest,faridabad,2013-02-01,2013-02-01T00:00:00
2013,2,Gautam Buddha Nagar,3.123377297605787,False,,gautam buddha nagar,2013-02-01,2013-02-01T00:00:00
2013,2,Ghaziabad,3.975918190819877,False,,ghaziabad,2013-02-01,2013-02-01T00:00:00
2013,2,Gurugram,2.505040845168488,False,,gurugram,2013-02-01,2013-02-01T00:00:00
2013,2,Hapur,2.0622126438788007,False,,hapur,2013-02-01,2013-02-01T00:00:00
2013,2,Jhajjar,2.6740116035299644,False,,jhajjar,2013-02-01,2013-02-01T00:00:00
2013,2,Jind,4.497587799493756,False,,jind,2013-02-01,2013-02-01T00:00:00
2013,2,Karnal,4.501211930598531,False,,karnal,2013-02-01,2013-02-01T00:00:00
2013,2,Mahendragarh,2.178496710766031,True,,mahendragarh,2013-02-01,2013-02-01T00:00:00
2013,2,Meerut,3.905394133712564,False,,meerut,2013-02-01,2013-02-01T00:00:00
