DISTRICT_NAME,TEMP,date
Alwar,17.103002548217773,2024-01-01
Meerut,15.566903114318848,2024-01-01
Rohtak,15.630243301391602,2024-01-01
Alwar,14.350379943847656,2024-01-02
Meerut,14.12095832824707,2024-01-02
Rohtak,13.631193161010742,2024-01-02
Alwar,14.108799934387207,2024-01-03
Meerut,15.176105499267578,2024-01-03
Rohtak,14.754668235778809,2024-01-03
Alwar,14.72768783569336,2024-01-04
Meerut,14.03830337524414,2024-01-04
Rohtak,13.710578918457031,2024-01-04
Alwar,14.254167556762695,2024-01-05
Meerut,13.810903549194336,2024-01-05
Rohtak,13.356523513793945,2024-01-05
Alwar,15.480765342712402,2024-01-06
Meerut,15.541403770446777,2024-01-06
Rohtak,14.617898941040039,2024-01-06
Alwar,16.350637435913086,2024-01-07
Meerut,15.44297981262207,2024-01-07
Rohtak,14.516778945922852,2024-01-07
Alwar,15.482858657836914,2024-01-08
Meerut,14.188024520874023,2024-01-08
Rohtak,13.926250457763672,2024-01-08
Alwar,14.844807624816895,2024-01-09
Meerut,14.103514671325684,2024-01-09
Rohtak,13.904756546020508,2024-01-09
Alwar,16.847999572753906,2024-01-10
Meerut,14.903243064880371,2024-01-10
Rohtak,14.948806762695312,2024-01-10
Alwar,19.22553253173828,2024-01-11
Meerut,16.088603973388672,2024-01-11
Rohtak,17.373905181884766,2024-01-11
Alwar,20.686277389526367,2024-01-12
Meerut,15.730500221252441,2024-01-12
Rohtak,18.022098541259766,2024-01-12
Alwar,20.44146728515625,2024-01-13
Meerut,17.26215171813965,2024-01-13
Rohtak,18.268186569213867,2024-01-13
Alwar,20.78502655029297,2024-01-14
Meerut,17.21865463256836,2024-01-14
Rohtak,18.61470603942871,2024-01-14
Alwar,19.971479415893555,2024-01-15
Meerut,16.692689895629883,2024-01-15
Rohtak,18.078222274780273,2024-01-15
Alwar,18.15061378479004,2024-01-16
Meerut,15.174033164978027,2024-01-16
Rohtak,17.33260726928711,2024-01-16
Alwar,16.098312377929688,2024-01-17
Meerut,15.116752624511719,2024-01-17
Rohtak,15.757890701293945,2024-01-17
Alwar,15.844888687133789,2024-01-18
Meerut,15.25472640991211,2024-01-18
Rohtak,16.169940948486328,2024-01-18
Alwar,15.960515022277832,2024-01-19
Meerut,12.888016700744629,2024-01-19
Rohtak,15.388236999511719,2024-01-19
Alwar,16.410934448242188,2024-01-20
Meerut,15.233278274536133,2024-01-20
Rohtak,16.114398956298828,2024-01-20
Alwar,17.821495056152344,2024-01-21
Meerut,14.346440315246582,2024-01-21
Rohtak,15.523263931274414,2024-01-21
Alwar,17.599647521972656,2024-01-22
Meerut,14.441205024719238,2024-01-22
Rohtak,16.696361541748047,2024-01-22
Alwar,18.66372299194336,2024-01-23
Meerut,14.63093376159668,2024-01-23
Rohtak,16.619718551635742,2024-01-23
Alwar,17.593278884887695,2024-01-24
Meerut,14.548164367675781,2024-01-24
Rohtak,15.634057998657227,2024-01-24
Alwar,18.948753356933594,2024-01-25
Meerut,16.71707534790039,2024-01-25
Rohtak,17.849853515625,2024-01-25
Alwar,20.828369140625,2024-01-26
Meerut,19.416118621826172,2024-01-26
Rohtak,20.795612335205078,2024-01-26
Alwar,24.89664649963379,2024-01-27
Meerut,23.36819839477539,2024-01-27
Rohtak,24.546707153320312,2024-01-27
Alwar,22.522817611694336,2024-01-28
Meerut,17.620529174804688,2024-01-28
Rohtak,19.650707244873047,2024-01-28
Alwar,22.461795806884766,2024-01-29
Meerut,21.026229858398438,2024-01-29
Rohtak,22.01372528076172,2024-01-29
Alwar,21.152240753173828,2024-01-30
Meerut,19.547788619995117,2024-01-30
Rohtak,20.328594207763672,2024-01-30
Alwar,21.931442260742188,2024-01-31
Meerut,19.529998779296875,2024-01-31
Rohtak,20.333126068115234,2024-01-31
Alwar,22.912778854370117,2024-02-01
Meerut,18.826805114746094,2024-02-01
Rohtak,21.15297508239746,2024-02-01
Alwar,21.893320083618164,2024-02-02
Meerut,20.358963012695312,2024-02-02
Rohtak,21.075122833251953,2024-02-02
Alwar,23.10926055908203,2024-02-03
Meerut,21.520099639892578,2024-02-03
Rohtak,21.871644973754883,2024-02-03
Alwar,20.97290802001953,2024-02-04
Meerut,19.057735443115234,2024-02-04
Rohtak,20.006410598754883,2024-02-04
Alwar,20.756738662719727,2024-02-05
Meerut,19.542207717895508,2024-02-05
Rohtak,19.891536712646484,2024-02-05
Alwar,20.760433197021484,2024-02-06
Meerut,19.874555587768555,2024-02-06
Rohtak,20.585189819335938,2024-02-06
Alwar,20.175613403320312,2024-02-07
Meerut,20.151702880859375,2024-02-07
Rohtak,19.789566040039062,2024-02-07
Alwar,22.054716110229492,2024-02-08
Meerut,22.49477195739746,2024-02-08
Rohtak,22.121196746826172,2024-02-08
Alwar,24.72808074951172,2024-02-09
Meerut,23.92609977722168,2024-02-09
Rohtak,24.616718292236328,2024-02-09
Alwar,24.091270446777344,2024-02-10
Meerut,24.09726333618164,2024-02-10
Rohtak,24.089282989501953,2024-02-10
Alwar,23.945096969604492,2024-02-11
Meerut,24.760807037353516,2024-02-11
Rohtak,24.137815475463867,2024-02-11
Alwar,22.957944869995117,2024-02-12
Meerut,23.655029296875,2024-02-12
Rohtak,22.78280258178711,2024-02-12
Alwar,23.73320960998535,2024-02-13
Meerut,24.086400985717773,2024-02-13
Rohtak,23.60803985595703,2024-02-13
Alwar,24.386667251586914,2024-02-14
Meerut,24.977336883544922,2024-02-14
Rohtak,24.808349609375,2024-02-14
Alwar,26.111047744750977,2024-02-15
Meerut,26.141077041625977,2024-02-15
Rohtak,26.289751052856445,2024-02-15
Alwar,26.961275100708008,2024-02-16
Meerut,26.685537338256836,2024-02-16
Rohtak,26.867752075195312,2024-02-16
