DISTRICT,slope,p_value,R2,note
Alwar,-0.0018675627531206719,0.7044618956092189,0.01500880817771065,
Baghpat,0.002120438487290672,0.6534193582128753,0.020968671917317067,
Bharatpur,-0.0018675627531206719,0.7044618956092189,0.01500880817771065,
Bulandshahr,0.0011751533331791559,0.8020700573870823,0.006583155814225326,
Gautam Buddha Nagar,0.0010514798923985345,0.8222709853700017,0.0052897366154781595,
Ghaziabad,0.002120438487290672,0.6534193582128753,0.020968671917317067,
Hapur,0.002120438487290672,0.6534193582128753,0.020968671917317067,
Meerut,0.002120438487290672,0.6534193582128753,0.020968671917317067,
Muzaffarnagar,0.002120438487290672,0.6534193582128753,0.020968671917317067,
New Delhi,0.0002637371398102501,0.9540845858157111,0.0003484330465540853,
Shahdara,0.002120438487290672,0.6534193582128753,0.020968671917317067,
Shamli,0.002120438487290672,0.6534193582128753,0.020968671917317067,
Delhi,-0.0007171566764554207,0.8743699399690805,0.002624360072491838,
Bhiwani,-0.001346477879928655,0.7657135860570343,0.009290279900608855,
Faridabad,0.0005393044274565759,0.9077726473857328,0.0014097771528713012,
Gurugram,-0.0003942049222145391,0.9309306144033747,0.0007893762217707654,
Jhajjar,-0.001346477879928655,0.7657135860570343,0.009290279900608855,
Jind,-0.001346477879928655,0.7657135860570343,0.009290279900608855,
Karnal,0.0003869803036810092,0.9327758268279541,0.0007476795818618068,
Mahendragarh,-0.0016070203165246583,0.7308719580721381,0.012359144887291217,
Nuh,-0.0018675627531206719,0.7044618956092189,0.01500880817771065,
Palwal,-0.0018675627531206719,0.7044618956092189,0.01500880817771065,
Panipat,0.0008203448495834072,0.8589250609763432,0.0033153945289034242,
Rewari,-0.0016721559256736808,0.7234870116551253,0.013071381194645902,
Rohtak,-0.001346477879928655,0.7657135860570343,0.009290279900608855,
Sonipat,-0.00021973006058237168,0.9615320361899727,0.00024450085048844246,
Charki Dadri,-0.001463721976396873,0.7489991574826094,0.010703197823288973,
North West Delhi,-0.000783103970255501,0.862860263810175,0.0031314783845737154,
North Delhi,0.000809510735935856,0.8607468748947869,0.003229580725441368,
North East Delhi,0.001683462570172386,0.7192054869429271,0.013494428556812961,
Central Delhi,0.000569956445284259,0.9013668189186427,0.0016132905483855888,
East Delhi,0.0016036111399552017,0.7316204353397491,0.012288184024972757,
South Delhi,0.0006277942440386548,0.8916779892177866,0.0019475414773402098,
South West Delhi,-0.001346477879928655,0.7657135860570343,0.009290279900608855,
West Delhi,-0.0007265258212071573,0.8727336005504027,0.0026936673872422837,
South East Delhi,0.0010867837926197472,0.8145942139095232,0.005763835621455385,
