id,date,state_name,state_code,district_name,district_code,station_name,latitude,longitude,basin,sub_basin,source,currentlevel,level_diff
191348,2013-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar(new),28.12083,77.55833,Ganga,Yamuna Middle,CGWB,16.4,0.4
191349,2013-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar(new),28.12083,77.55833,Ganga,Yamuna Middle,CGWB,16.85,0.45
191350,2013-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar(new),28.12083,77.55833,Ganga,Yamuna Middle,CGWB,15.33,-1.52
191351,2013-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar(new),28.12083,77.55833,Ganga,Yamuna Middle,CGWB,14.9,-0.43
191352,2014-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar(new),28.12083,77.55833,Ganga,Yamuna Middle,CGWB,14.85,-0.05
191353,2014-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar(new),28.12083,77.55833,Ganga,Yamuna Middle,CGWB,15.93,1.08
191354,2014-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar(new),28.12083,77.55833,Ganga,Yamuna Middle,CGWB,16.04,0.11
191355,2015-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar(new),28.12083,77.55833,Ganga,Yamuna Middle,CGWB,15.9,-0.14
191356,2015-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar(new),28.12083,77.55833,Ganga,Yamuna Middle,CGWB,15.75,-0.15
191357,2015-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar(new),28.12083,77.55833,Ganga,Yamuna Middle,CGWB,16.6,0.85
191358,2016-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar(new),28.12083,77.55833,Ganga,Yamuna Middle,CGWB,17.55,0.95
191359,2013-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,11.55,-0.72
191360,2013-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,13.25,1.7
191361,2013-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,11.33,-1.92
191362,2013-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,11.61,0.28
191363,2014-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,11.83,0.22
191364,2014-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,12.68,0.85
191365,2014-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,11.99,-0.69
191366,2015-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,13.08,1.09
191367,2015-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,14.1,1.02
191368,2015-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,13.87,-0.23
191369,2015-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,14.39,0.52
191370,2016-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,19.02,4.63
191371,2016-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,13.75,-5.27
191372,2016-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,13.66,-0.09
191373,2017-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,13.15,-0.51
191374,2017-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,14.0,0.85
191375,2017-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,14.36,0.36
191376,2017-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,13.45,-0.91
191377,2018-01-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,13.79,0.34
191378,2018-05-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,14.72,0.93
191379,2018-08-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,13.9,-0.82
191380,2018-11-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,15.31,1.41
191381,2019-01-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,13.16,-2.15
191382,2019-05-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,14.38,1.22
191383,2019-08-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,14.41,0.03
191384,2019-11-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,14.31,-0.1
191385,2020-01-09,Uttar Pradesh,9,Gautam Buddha Nagar,144,Jewar- Pz,28.12361,77.56111,Ganga,Yamuna Middle,CGWB,13.93,-0.38
191386,2013-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,21.55,-0.09
191387,2013-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,23.08,1.53
191388,2013-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,23.62,0.54
191389,2013-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,24.35,0.73
191390,2014-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,24.56,0.21
191391,2014-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,25.39,0.83
191392,2014-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,26.35,0.96
191393,2015-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,27.18,0.83
191394,2015-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,28.61,1.43
191395,2015-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,29.05,0.44
191396,2016-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,30.55,1.5
191397,2016-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,28.62,-1.93
191398,2016-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,28.91,0.29
191399,2017-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,28.86,-0.05
191400,2017-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,31.94,3.08
191401,2017-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,34.11,2.17
191402,2018-01-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector- 62 A Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,33.92,-0.19
