Level,Name,TRU,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06
DISTRICT,Karnal,Total,1505324,797712,707612,196610,107797,88813
DISTRICT,Karnal,Rural,1050514,557110,493404,142691,78011,64680
DISTRICT,Karnal,Urban,454810,240602,214208,53919,29786,24133
DISTRICT,Panipat,Total,1205437,646857,558580,169662,92380,77282
DISTRICT,Panipat,Rural,650352,349642,300710,94584,51786,42798
DISTRICT,Panipat,Urban,555085,297215,257870,75078,40594,34484
DISTRICT,Sonipat,Total,1450001,781299,668702,188262,104693,83569
DISTRICT,Sonipat,Rural,996637,538750,457887,132007,73328,58679
DISTRICT,Sonipat,Urban,453364,242549,210815,56255,31365,24890
DISTRICT,Jind,Total,1334152,713006,621146,168554,91710,76844
DISTRICT,Jind,Rural,1028569,550519,478050,131390,71437,59953
DISTRICT,Jind,Urban,305583,162487,143096,37164,20273,16891
DISTRICT,Bhiwani,Total,1634445,866672,767773,212011,115756,96255
DISTRICT,Bhiwani,Rural,1313123,696212,616911,172608,94039,78569
DISTRICT,Bhiwani,Urban,321322,170460,150862,39403,21717,17686
DISTRICT,Rohtak,Total,1061204,568479,492725,129330,71041,58289
DISTRICT,Rohtak,Rural,615040,332034,283006,77793,42691,35102
DISTRICT,Rohtak,Urban,446164,236445,209719,51537,28350,23187
DISTRICT,Jhajjar,Total,958405,514667,443738,120051,67380,52671
DISTRICT,Jhajjar,Rural,715066,384219,330847,89704,50465,39239
DISTRICT,Jhajjar,Urban,243339,130448,112891,30347,16915,13432
DISTRICT,Mahendragarh,Total,922088,486665,435423,111181,62638,48543
DISTRICT,Mahendragarh,Rural,789233,416358,372875,95381,53778,41603
DISTRICT,Mahendragarh,Urban,132855,70307,62548,15800,8860,6940
DISTRICT,Rewari,Total,900332,474335,425997,113893,63743,50150
DISTRICT,Rewari,Rural,666902,349710,317192,84052,47154,36898
DISTRICT,Rewari,Urban,233430,124625,108805,29841,16589,13252
DISTRICT,Gurugram,Total,1514432,816690,697742,202602,110705,91897
DISTRICT,Gurugram,Rural,472179,251462,220717,67473,37469,30004
DISTRICT,Gurugram,Urban,1042253,565228,477025,135129,73236,61893
DISTRICT,Nuh,Total,1089263,571162,518101,248128,130168,117960
DISTRICT,Nuh,Rural,965157,506086,459071,225069,117967,107102
DISTRICT,Nuh,Urban,124106,65076,59030,23059,12201,10858
DISTRICT,Faridabad,Total,1809733,966110,843623,251955,136679,115276
DISTRICT,Faridabad,Rural,370878,198103,172775,60653,33077,27576
DISTRICT,Faridabad,Urban,1438855,768007,670848,191302,103602,87700
DISTRICT,Palwal,Total,1042708,554497,488211,177494,95132,82362
DISTRICT,Palwal,Rural,806164,428907,377257,143766,76705,67061
DISTRICT,Palwal,Urban,236544,125590,110954,33728,18427,15301
DISTRICT,North Delhi,Total,3656539,1960922,1695617,449894,241169,208725
DISTRICT,North Delhi,Rural,213950,115680,98270,28936,15894,13042
DISTRICT,North Delhi,Urban,3442589,1845242,1597347,420958,225275,195683
DISTRICT,North Delhi,Total,887978,475002,412976,103304,55155,48149
DISTRICT,North Delhi,Rural,17746,9546,8200,2391,1268,1123
DISTRICT,North Delhi,Urban,870232,465456,404776,100913,53887,47026
DISTRICT,North Delhi,Total,2241624,1188425,1053199,301947,160583,141364
DISTRICT,North Delhi,Rural,21527,11718,9809,3386,1839,1547
DISTRICT,North Delhi,Urban,2220097,1176707,1043390,298561,158744,139817
DISTRICT,East Delhi,Total,1709346,907500,801846,194357,103902,90455
DISTRICT,East Delhi,Rural,3530,1861,1669,374,218,156
DISTRICT,East Delhi,Urban,1705816,905639,800177,193983,103684,90299
DISTRICT,New Delhi,Total,142004,77942,64062,12760,6738,6022
