DISTRICT_NAME,date,minT,maxT
Bhiwani,2019-01-01,4.699072,23.026365
Faridabad,2019-01-01,4.19575,23.423315
Gurgaon,2019-01-01,4.118371,22.254725
Jhajjar,2019-01-01,4.118371,22.254725
Jind,2019-01-01,5.1790166,20.62093
Mahendragarh,2019-01-01,4.1525693,23.880005
Mewat,2019-01-01,4.1525693,23.880005
Palwal,2019-01-01,4.19575,23.423315
Panipat,2019-01-01,4.118371,22.254725
Rewari,2019-01-01,4.1525693,23.880005
Rohtak,2019-01-01,4.118371,22.254725
Sonipat,2019-01-01,4.118371,22.254725
West,2019-01-01,4.650799,21.459118
Alwar,2019-01-01,4.1525693,23.880005
Bharatpur,2019-01-01,4.053983,24.687933
Baghpat,2019-01-01,4.650799,21.459118
Bulandshahr,2019-01-01,4.650799,21.459118
GautamBuddhaNagar,2019-01-01,4.650799,21.459118
Ghaziabad,2019-01-01,4.650799,21.459118
Hapur,2019-01-01,4.650799,21.459118
Meerut,2019-01-01,4.650799,21.459118
Muzaffarnagar,2019-01-01,4.650799,21.459118
Shamli,2019-01-01,5.252611,19.47813
Bhiwani,2019-01-02,7.255828,23.679577
Faridabad,2019-01-02,7.070868,23.444572
Gurgaon,2019-01-02,6.905925,23.43209
Jhajjar,2019-01-02,6.905925,23.43209
Jind,2019-01-02,7.814851,22.012564
Mahendragarh,2019-01-02,6.5249386,24.045582
Mewat,2019-01-02,6.5249386,24.045582
Palwal,2019-01-02,7.070868,23.444572
Panipat,2019-01-02,6.905925,23.43209
Rewari,2019-01-02,6.5249386,24.045582
Rohtak,2019-01-02,6.905925,23.43209
Sonipat,2019-01-02,6.905925,23.43209
West,2019-01-02,7.4975286,22.62143
Alwar,2019-01-02,6.5249386,24.045582
Bharatpur,2019-01-02,6.6472583,24.590149
Baghpat,2019-01-02,7.4975286,22.62143
Bulandshahr,2019-01-02,7.4975286,22.62143
GautamBuddhaNagar,2019-01-02,7.4975286,22.62143
Ghaziabad,2019-01-02,7.4975286,22.62143
Hapur,2019-01-02,7.4975286,22.62143
Meerut,2019-01-02,7.4975286,22.62143
Muzaffarnagar,2019-01-02,7.4975286,22.62143
Shamli,2019-01-02,7.4097614,20.826433
Bhiwani,2019-01-03,6.0392423,20.39141
Faridabad,2019-01-03,6.356954,21.899685
Gurgaon,2019-01-03,5.9330745,20.661623
Jhajjar,2019-01-03,5.9330745,20.661623
Jind,2019-01-03,6.333988,19.01031
Mahendragarh,2019-01-03,5.918195,22.134094
Mewat,2019-01-03,5.918195,22.134094
Palwal,2019-01-03,6.356954,21.899685
Panipat,2019-01-03,5.9330745,20.661623
Rewari,2019-01-03,5.918195,22.134094
Rohtak,2019-01-03,5.9330745,20.661623
Sonipat,2019-01-03,5.9330745,20.661623
West,2019-01-03,6.117816,20.179665
Alwar,2019-01-03,5.918195,22.134094
Bharatpur,2019-01-03,5.9105697,24.291586
Baghpat,2019-01-03,6.117816,20.179665
Bulandshahr,2019-01-03,6.117816,20.179665
GautamBuddhaNagar,2019-01-03,6.117816,20.179665
Ghaziabad,2019-01-03,6.117816,20.179665
Hapur,2019-01-03,6.117816,20.179665
Meerut,2019-01-03,6.117816,20.179665
Muzaffarnagar,2019-01-03,6.117816,20.179665
Shamli,2019-01-03,5.896213,18.385908
Bhiwani,2019-01-04,6.2900653,19.726097
Faridabad,2019-01-04,6.152964,20.047892
Gurgaon,2019-01-04,5.906161,19.436283
Jhajjar,2019-01-04,5.906161,19.436283
Jind,2019-01-04,6.315613,18.571472
Mahendragarh,2019-01-04,5.934839,20.601679
Mewat,2019-01-04,5.934839,20.601679
Palwal,2019-01-04,6.152964,20.047892
Panipat,2019-01-04,5.906161,19.436283
Rewari,2019-01-04,5.934839,20.601679
Rohtak,2019-01-04,5.906161,19.436283
Sonipat,2019-01-04,5.906161,19.436283
West,2019-01-04,5.9465103,18.293745
Alwar,2019-01-04,5.934839,20.601679
Bharatpur,2019-01-04,5.9449844,22.699255
Baghpat,2019-01-04,5.9465103,18.293745
Bulandshahr,2019-01-04,5.9465103,18.293745
GautamBuddhaNagar,2019-01-04,5.9465103,18.293745
Ghaziabad,2019-01-04,5.9465103,18.293745
Hapur,2019-01-04,5.9465103,18.293745
Meerut,2019-01-04,5.9465103,18.293745
Muzaffarnagar,2019-01-04,5.9465103,18.293745
Shamli,2019-01-04,5.8077602,16.544842
Bhiwani,2019-01-05,7.3034573,21.957672
Faridabad,2019-01-05,8.013563,22.277729
Gurgaon,2019-01-05,7.178964,21.68487
Jhajjar,2019-01-05,7.178964,21.68487
Jind,2019-01-05,7.4368143,19.66976
Mahendragarh,2019-01-05,7.7532988,22.458017
Mewat,2019-01-05,7.7532988,22.458017
Palwal,2019-01-05,8.013563,22.277729
Panipat,2019-01-05,7.178964,21.68487
Rewari,2019-01-05,7.7532988,22.458017
Rohtak,2019-01-05,7.178964,21.68487
Sonipat,2019-01-05,7.178964,21.68487
West,2019-01-05,7.260071,20.633474
Alwar,2019-01-05,7.7532988,22.458017
Bharatpur,2019-01-05,8.037093,24.055174
Baghpat,2019-01-05,7.260071,20.633474
Bulandshahr,2019-01-05,7.260071,20.633474
GautamBuddhaNagar,2019-01-05,7.260071,20.633474
Ghaziabad,2019-01-05,7.260071,20.633474
Hapur,2019-01-05,7.260071,20.633474
Meerut,2019-01-05,7.260071,20.633474
Muzaffarnagar,2019-01-05,7.260071,20.633474
Shamli,2019-01-05,6.2947307,18.19144
Bhiwani,2019-01-06,8.876673,18.885706
Faridabad,2019-01-06,9.039119,19.221064
Gurgaon,2019-01-06,9.197668,18.789991
Jhajjar,2019-01-06,9.197668,18.789991
Jind,2019-01-06,9.26687,17.06314
Mahendragarh,2019-01-06,8.70535,19.0109
Mewat,2019-01-06,8.70535,19.0109
Palwal,2019-01-06,9.039119,19.221064
Panipat,2019-01-06,9.197668,18.789991
Rewari,2019-01-06,8.70535,19.0109
Rohtak,2019-01-06,9.197668,18.789991
Sonipat,2019-01-06,9.197668,18.789991
West,2019-01-06,8.642355,18.590029
Alwar,2019-01-06,8.70535,19.0109
Bharatpur,2019-01-06,8.70821,21.024652
Baghpat,2019-01-06,8.642355,18.590029
Bulandshahr,2019-01-06,8.642355,18.590029
GautamBuddhaNagar,2019-01-06,8.642355,18.590029
Ghaziabad,2019-01-06,8.642355,18.590029
Hapur,2019-01-06,8.642355,18.590029
Meerut,2019-01-06,8.642355,18.590029
Muzaffarnagar,2019-01-06,8.642355,18.590029
Shamli,2019-01-06,7.558153,16.35628
Bhiwani,2019-01-07,5.6116443,19.319553
Faridabad,2019-01-07,7.474109,19.717701
Gurgaon,2019-01-07,6.102095,19.38382
Jhajjar,2019-01-07,6.102095,19.38382
Jind,2019-01-07,5.8301253,18.863216
Mahendragarh,2019-01-07,6.7343936,19.571974
Mewat,2019-01-07,6.7343936,19.571974
Palwal,2019-01-07,7.474109,19.717701
Panipat,2019-01-07,6.102095,19.38382
Rewari,2019-01-07,6.7343936,19.571974
Rohtak,2019-01-07,6.102095,19.38382
Sonipat,2019-01-07,6.102095,19.38382
West,2019-01-07,6.488482,20.155941
Alwar,2019-01-07,6.7343936,19.571974
Bharatpur,2019-01-07,7.5145707,20.216312
Baghpat,2019-01-07,6.488482,20.155941
Bulandshahr,2019-01-07,6.488482,20.155941
GautamBuddhaNagar,2019-01-07,6.488482,20.155941
Ghaziabad,2019-01-07,6.488482,20.155941
Hapur,2019-01-07,6.488482,20.155941
Meerut,2019-01-07,6.488482,20.155941
Muzaffarnagar,2019-01-07,6.488482,20.155941
Shamli,2019-01-07,5.0413294,18.512249
Bhiwani,2019-01-08,6.025595,20.172514
Faridabad,2019-01-08,6.99781,20.318207
Gurgaon,2019-01-08,6.567125,20.021135
Jhajjar,2019-01-08,6.567125,20.021135
Jind,2019-01-08,6.5455437,19.04886
Mahendragarh,2019-01-08,6.2472606,20.153683
Mewat,2019-01-08,6.2472606,20.153683
Palwal,2019-01-08,6.99781,20.318207
Panipat,2019-01-08,6.567125,20.021135
Rewari,2019-01-08,6.2472606,20.153683
Rohtak,2019-01-08,6.567125,20.021135
Sonipat,2019-01-08,6.567125,20.021135
West,2019-01-08,6.9055023,19.976955
Alwar,2019-01-08,6.2472606,20.153683
Bharatpur,2019-01-08,6.815725,21.316904
Baghpat,2019-01-08,6.9055023,19.976955
Bulandshahr,2019-01-08,6.9055023,19.976955
GautamBuddhaNagar,2019-01-08,6.9055023,19.976955
Ghaziabad,2019-01-08,6.9055023,19.976955
Hapur,2019-01-08,6.9055023,19.976955
Meerut,2019-01-08,6.9055023,19.976955
Muzaffarnagar,2019-01-08,6.9055023,19.976955
Shamli,2019-01-08,6.1508737,18.387669
Bhiwani,2019-01-09,6.187338,21.0641
Faridabad,2019-01-09,6.1454353,20.569857
Gurgaon,2019-01-09,6.134698,20.57066
Jhajjar,2019-01-09,6.134698,20.57066
Jind,2019-01-09,6.290614,20.136803
